"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","It is your best work, Basil, the best thing you have ever done, You must certainly send it next year to the
Grosvenor. The Academy is too large and too vulgar. Whenever I have
gone there, there have been either so many people that I have not been
able to see the pictures, which was dreadful, or so many pictures that
I have not been able to see the people, which was worse. The Grosvenor
is really the only place.","['It is your best work, Basil, the best thing you have ever done,', 'You must certainly send it next year to the\nGrosvenor. The Academy is too large and too vulgar. Whenever I have\ngone there, there have been either so many people that I have not been\nable to see the pictures, which was dreadful, or so many pictures that\nI have not been able to see the people, which was worse. The Grosvenor\nis really the only place.']","[[4123, 4186], [4216, 4566]]","Lord Henry","['Basil Hallward']","Explicit","said Lord Henry","[['your', 'Basil', 'you'], ['You']]","[[[4129, 4133], [4145, 4150], [4167, 4170]], [[4216, 4219]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']], [['Basil Hallward']]]"
"Q1","I don t think I shall send it anywhere, No, I won t send it anywhere.","['I don t think I shall send it anywhere,', 'No, I won t send it anywhere.']","[[4570, 4609], [4717, 4746]]","Basil Hallward","['Lord Henry']","Anaphoric","he answered","[[], []]","[[], []]","[[], []]"
"Q2","Not send it anywhere? My dear
fellow, why? Have you any reason? What odd chaps you painters are! You
do anything in the world to gain a reputation. As soon as you have one,
you seem to want to throw it away. It is silly of you, for there is
only one thing in the world worse than being talked about, and that is
not being talked about. A portrait like this would set you far above
all the young men in England, and make the old men quite jealous, if
old men are ever capable of any emotion.","['Not send it anywhere? My dear\nfellow, why? Have you any reason? What odd chaps you painters are! You\ndo anything in the world to gain a reputation. As soon as you have one,\nyou seem to want to throw it away. It is silly of you, for there is\nonly one thing in the world worse than being talked about, and that is\nnot being talked about. A portrait like this would set you far above\nall the young men in England, and make the old men quite jealous, if\nold men are ever capable of any emotion.']","[[4933, 5423]]","Lord Henry","['Basil Hallward']","Implicit","nan","[['My dear\nfellow', 'you', 'you', 'You', 'you', 'you', 'you', 'you']]","[[[4955, 4969], [4981, 4984], [5012, 5015], [5030, 5033], [5092, 5095], [5106, 5109], [5156, 5159], [5300, 5303]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]]"
"Q3","I know you will laugh at me, but I really can t exhibit
it. I have put too much of myself into it.","['I know you will laugh at me,', 'but I really can t exhibit\nit. I have put too much of myself into it.']","[[5427, 5455], [5470, 5539]]","Basil Hallward","['Lord Henry']","Anaphoric","he replied","[['you'], []]","[[[5434, 5437]], []]","[[['Lord Henry']], []]"
"Q4","Yes, I knew you would; but it is quite true, all the same.","['Yes, I knew you would; but it is quite true, all the same.']","[[5603, 5661]]","Basil Hallward","['Lord Henry']","Implicit","nan","[['you']]","[[[5615, 5618]]]","[[['Lord Henry']]]"
"Q5","Too much of yourself in it! Upon my word, Basil, I didn t know you
were so vain; and I really can t see any resemblance between you, with
your rugged strong face and your coal-black hair, and this young
Adonis, who looks as if he was made out of ivory and rose-leaves. Why,
my dear Basil, he is a Narcissus, and you well, of course you have an
intellectual expression and all that. But beauty, real beauty, ends
where an intellectual expression begins. Intellect is in itself a mode
of exaggeration, and destroys the harmony of any face. The moment one
sits down to think, one becomes all nose, or all forehead, or something
horrid. Look at the successful men in any of the learned professions.
How perfectly hideous they are! Except, of course, in the Church. But
then in the Church they don t think. A bishop keeps on saying at the
age of eighty what he was told to say when he was a boy of eighteen,
and as a natural consequence he always looks absolutely delightful.
Your mysterious young friend, whose name you have never told me, but
whose picture really fascinates me, never thinks. I feel quite sure of
that. He is some brainless beautiful creature who should be always here
in winter when we have no flowers to look at, and always here in summer
when we want something to chill our intelligence. Don t flatter
yourself, Basil: you are not in the least like him.","['Too much of yourself in it! Upon my word, Basil, I didn t know you\nwere so vain; and I really can t see any resemblance between you, with\nyour rugged strong face and your coal-black hair, and this young\nAdonis, who looks as if he was made out of ivory and rose-leaves. Why,\nmy dear Basil, he is a Narcissus, and you well, of course you have an\nintellectual expression and all that. But beauty, real beauty, ends\nwhere an intellectual expression begins. Intellect is in itself a mode\nof exaggeration, and destroys the harmony of any face. The moment one\nsits down to think, one becomes all nose, or all forehead, or something\nhorrid. Look at the successful men in any of the learned professions.\nHow perfectly hideous they are! Except, of course, in the Church. But\nthen in the Church they don t think. A bishop keeps on saying at the\nage of eighty what he was told to say when he was a boy of eighteen,\nand as a natural consequence he always looks absolutely delightful.\nYour mysterious young friend, whose name you have never told me, but\nwhose picture really fascinates me, never thinks. I feel quite sure of\nthat. He is some brainless beautiful creature who should be always here\nin winter when we have no flowers to look at, and always here in summer\nwhen we want something to chill our intelligence. Don t flatter\nyourself, Basil: you are not in the least like him.']","[[5665, 7035]]","Lord Henry","['Basil Hallward']","Implicit","nan","[['Basil', 'you', 'you', 'your', 'your', 'this young\nAdonis', 'he', 'my dear Basil', 'he', 'you', 'you', 'you', 'He', 'we', 'we', 'Basil', 'you', 'him']]","[[[5707, 5712], [5728, 5731], [5793, 5796], [5803, 5807], [5831, 5835], [5857, 5874], [5892, 5894], [5939, 5952], [5954, 5956], [5977, 5980], [5997, 6000], [6677, 6680], [6782, 6784], [6863, 6865], [6925, 6927], [6994, 6999], [7001, 7004], [7031, 7034]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray'], ['Dorian Gray'], ['Basil Hallward'], ['Dorian Gray'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray'], ['Basil Hallward', 'Lord Henry'], ['Basil Hallward', 'Lord Henry'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray']]]"
"Q6","You don t understand me, Harry, Of course I am
not like him. I know that perfectly well. Indeed, I should be sorry to
look like him. You shrug your shoulders? I am telling you the truth.
There is a fatality about all physical and intellectual distinction,
the sort of fatality that seems to dog through history the faltering
steps of kings. It is better not to be different from one s fellows.
The ugly and the stupid have the best of it in this world. They can sit
at their ease and gape at the play. If they know nothing of victory,
they are at least spared the knowledge of defeat. They live as we all
should live undisturbed, indifferent, and without disquiet. They
neither bring ruin upon others, nor ever receive it from alien hands.
Your rank and wealth, Harry; my brains, such as they are my art,
whatever it may be worth; Dorian Gray s good looks we shall all suffer
for what the gods have given us, suffer terribly.","['You don t understand me, Harry,', 'Of course I am\nnot like him. I know that perfectly well. Indeed, I should be sorry to\nlook like him. You shrug your shoulders? I am telling you the truth.\nThere is a fatality about all physical and intellectual distinction,\nthe sort of fatality that seems to dog through history the faltering\nsteps of kings. It is better not to be different from one s fellows.\nThe ugly and the stupid have the best of it in this world. They can sit\nat their ease and gape at the play. If they know nothing of victory,\nthey are at least spared the knowledge of defeat. They live as we all\nshould live undisturbed, indifferent, and without disquiet. They\nneither bring ruin upon others, nor ever receive it from alien hands.\nYour rank and wealth, Harry; my brains, such as they are my art,\nwhatever it may be worth; Dorian Gray s good looks we shall all suffer\nfor what the gods have given us, suffer terribly.']","[[7039, 7070], [7094, 7987]]","Basil Hallward","['Lord Henry']","Anaphoric","answered the artist","[['You', 'Harry'], ['him', 'him', 'You', 'your', 'you', 'They', 'their', 'They', 'Your', 'Harry', 'Dorian Gray', 'Gray', 'we', 'us']]","[[[7039, 7042], [7064, 7069]], [[7118, 7121], [7190, 7193], [7195, 7198], [7205, 7209], [7234, 7237], [7515, 7519], [7531, 7536], [7647, 7651], [7802, 7806], [7824, 7829], [7893, 7904], [7900, 7904], [7918, 7920], [7967, 7969]]]","[[['Lord Henry'], ['Lord Henry']], [['Dorian Gray'], ['Dorian Gray'], ['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Lady Agatha'], ['Lord Henry'], ['Lord Henry'], ['Dorian Gray'], ['Dorian Gray'], ['Basil Hallward', 'Dorian Gray', 'Henry'], ['Basil Hallward', 'Dorian Gray', 'Henry']]]"
"Q7","Dorian Gray? Is that his name?","['Dorian Gray? Is that his name?']","[[7991, 8021]]","Lord Henry","['Basil Hallward']","Explicit","asked Lord Henry","[['Dorian Gray', 'Gray', 'his']]","[[[7991, 8002], [7998, 8002], [8012, 8015]]]","[[['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray']]]"
"Q8","Yes, that is his name. I didn t intend to tell it to you.","['Yes, that is his name. I didn t intend to tell it to you.']","[[8093, 8150]]","Basil Hallward","['Lord Henry']","Implicit","nan","[['his', 'you']]","[[[8106, 8109], [8146, 8149]]]","[[['Dorian Gray'], ['Lord Henry']]]"
"Q9","But why not?","['But why not?']","[[8154, 8166]]","Lord Henry","['Basil Hallward']","Implicit","nan","[[]]","[[]]","[[]]"
